Run,GPS_code,Site,Treatment,salvia left,encelia_left,bromus_left,brassica_left,Total_eaten,Day_set_out,Day_collected,Days_Out,Notes
No10,JL_Nov10_S1,1,BR+,4,8,7,0,61,11/10/2017,11/11/2017,1,
No10,JL_Nov10_S1,1,A+,19,18,20,19,4,11/10/2017,11/11/2017,1,
No10,JL_Nov10_S1,1,C,18,20,20,20,2,11/10/2017,11/11/2017,1,
No10,JL_Nov10_S2,2,C,20,20,20,20,0,11/10/2017,11/11/2017,1,
No10,JL_Nov10_S2,2,BR+,4,7,18,7,44,11/10/2017,11/11/2017,1,
No10,JL_Nov10_S2,2,A+,20,20,20,20,0,11/10/2017,11/11/2017,1,
No10,JL_Nov10_S3,3,C,20,18,20,18,4,11/10/2017,11/12/2017,2,
No10,JL_Nov10_S3,3,BR+,8,9,2,1,60,11/10/2017,11/12/2017,2,
No10,JL_Nov10_S4,4,A+,16,20,20,18,6,11/10/2017,11/14/2017,4,
No10,JL_Nov10_S4,4,C,17,20,18,18,7,11/10/2017,11/14/2017,4,
No10,JL_Nov10_S4,4,BR+,15,19,18,20,8,11/10/2017,11/14/2017,4,
No16,JL_Nov16_S1,1,BR+,3,12,1,0,64,11/16/2017,11/17/2017,1,
No16,JL_Nov16_S1,1,C,19,20,20,20,1,11/16/2017,11/17/2017,1,
No16,JL_Nov16_S2,2,BR+,20,19,20,19,2,11/16/2017,11/17/2017,1,
No16,JL_Nov16_S2,2,A+,19,18,19,17,7,11/16/2017,11/17/2017,1,
No16,JL_Nov16_S2,2,C,20,20,20,20,0,11/16/2017,11/17/2017,1,
No16,JL_Nov16_S3,3,BR+,20,19,3,16,22,11/16/2017,11/17/2017,1,
No16,JL_Nov16_S3,3,A+,20,20,16,17,7,11/16/2017,11/17/2017,1,
No16,JL_Nov16_S3,3,C,20,20,20,18,2,11/16/2017,11/17/2017,1,
No16,JL_Nov16_S4,4,C,19,20,20,20,1,11/16/2017,11/17/2017,1,
No16,JL_Nov16_S4,4,BR+,19,20,17,16,8,11/16/2017,11/17/2017,1,
No16,JL_Nov16_S4,4,A+,20,20,18,20,2,11/16/2017,11/17/2017,1,
De1,JL_Dec1_S1,1,C,20,15,20,20,5,12/1/2017,12/2/2017,1,
