GPS_code,Run,Site,Sp_ate,Days_Out,Towhee_Eat,Towhee_Visit,Thrasher_Eat,Thrasher_Visit,WCS_Eat,WCS_Visit,Rabbit_Eat,Rabbit_Visit,ScrubJay_Eat,ScrubJay_Visit,GS_Eat,GS_Visit,SpottedTow_Eat,SpottedTow_Visit,Quail_Visit,KangRat_Eat,KangRat_Visit,Bobcat_Visit,UnidentifiedBird_Visit,NeotomaSpp_Eat,NeotomaSpp_Visit,HouseFinch_Visit,DeerMouse_Eat,DeerMouse_Visit,Racoon_Visit,MorningDove_Visit,unidentifiedRat_Visit,YellowRumpedWarbler_Eat,SwansonsThrush_Visit,MockingBird_Visit,Coyote_Visit
JL_Nov10_S1,No10,1,mixed_bird,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JL_Nov10_S2,No10,2,mixed_bird,1,2,1,0,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JL_Nov10_S3,No10,3,mixed_bird,2,11,12,1,2,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JL_Nov10_S4,No10,4,none,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JL_Nov16_S1,No16,1,CA_Towee,1,6,1,0,1,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JL_Nov16_S2,No16,2,bird,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JL_Nov16_S3,No16,3,CA_Towee,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JL_Nov16_S4,No16,4,bird,1,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JL_Dec8_S1,De8,1,none,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JL_Dec8_S2,De8,2,bird,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
JL_Dec8_S3,De8,3,mixed_bird,1,3,8,0,2,0,5,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JL_Dec8_S4,De8,4,none,2,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JL_Dec8_S5,De8,5,scrub_jay,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JL_Dec8_S6,De8,6,bird,2,2,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JL_Dec1_S1,De1,1,bird,1,5,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
JL_Dec1_S2,De1,2,bird,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
JL_Dec1_S3,De1,3,mixed_bird,1,5,5,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JL_Dec1_S4,De1,4,mixed_bird,1,2,5,0,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JL_Dec1_S5,De1,5,WC_sparrow,2,1,0,0,0,2,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
JL_Dec1_S6,De1,6,none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JL_Jan22_S1,Ja22,1,mixed_bird,1,1,1,0,0,1,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JL_Jan22_S2,Ja22,2,CA_Towee,2,7,6,0,0,0,16,0,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
JL_Jan22_S3,Ja22,3,bird,2,1,0,0,0,1,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JL_Jan22_S4,Ja22,4,none,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JL_Jan22_S5,Ja22,5,mixed_bird,2,0,0,2,4,0,1,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JL_Jan22_S6,Ja22,6,bird,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
JL_Jan27_S1,Ja27,1,CA_Towee,1,3,4,0,0,0,5,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JL_Jan27_S2,Ja27,2,none,2,0,0,0,2,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
JL_Jan27_S3,Ja27,3,none,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
JL_Jan27_S4,Ja27,4,multipred,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JL_Jan27_S5,Ja27,5,multipred,2,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0
JL_Jan27_S6,Ja27,6,none,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JL_Feb15_S1,Fe15,1,CA_Towee,2,9,1,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,1,0,2,2,0,1,0,0,0,0,0,0,0
JL_Feb15_S2,Fe15,2,multipred,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0
JL_Feb15_S3,Fe15,3,CA_Towee,3,4,2,0,0,0,1,0,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
JL_Feb15_S4,Fe15,4,CA_Towee,2,2,6,0,1,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JL_Feb15_S5,Fe15,5,CA_Towee,2,2,7,0,2,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JL_Feb15_S6,Fe15,6,CA_Towee,2,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JL_Mar5_S1,Ma5,1,multipred,3,4,7,0,0,0,0,0,3,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0
JL_Mar5_S2,Ma5,2,mixed_bird,2,4,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JL_Mar5_S3,Ma5,3,CA_Towee,1,1,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JL_Mar5_S4,Ma5,4,mixed_bird,1,3,4,0,4,3,17,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JL_Mar5_S5,Ma5,5,mixed_bird,2,3,0,1,2,17,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
JL_Mar5_S6,Ma5,6,none,3,0,3,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
JL_Mar23_S1,Ma23,1,CA_Towee,3,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
JL_Mar23_S2,Ma23,2,multipred,1,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4,0,0,1,0,0,0,0,0,0,0
